game,installations,rating,reviews,in_app_purchases,in_app_purchases_max
Jetpack Joyride,100000000,4.3595576,8894,0.79,99.99
[],None,,,,
[],None,,,,
[],None,,,,
[],None,,,,
[],None,,,,
[],None,,,,
[],None,,,,
[],None,,,,
[],None,,,,
Swamp Attack,100000000,4.453358,1187.0,0.99,99.99
Cut the Rope,100000000,4.357045,4875.0,0.5,130.83
Q*bert - Classic Arcade Game,1000000,4.34,123.0,3.09,20.99
Doodle Jump,50000000,4.316198,2118.0,0.99,11.41
[],None,,,,
[],None,,,,
Food Gang,5000000,3.98,141.0,1.99,99.99
Minion Rush: Running Game,500000000,4.240318,16986.0,0.49,99.99
[],None,,,,
[],None,,,,
[],None,,,,
Super Jungle Jump,1000000,4.142857,4.0,0.99,104.99
[],None,,,,
Dig Out! Gold Digger Adventure,5000000,4.1960783,108.0,0.99,109.99
[],None,,,,
Magic Brick Wars - Epic Card Battles,500000,3.2564104,16.0,0.99,99.99
[],None,,,,
Stack,50000000,3.5273972,1425.0,2.0,
One Gun: Stickman,5000000,4.35,133.0,0.59,29.99
Sonic Dash - Endless Running,100000000,4.542338,6895.0,0.99,99.99
[],None,,,,
ZigZag,50000000,3.964048,2272.0,1.99,
[],None,,,,
[],None,,,,
Ski Safari 2,10000000,4.43,204.0,0.89,8.99
[],None,,,,
Tower Conquest: Tower Defense,10000000,4.267327,192.0,2.09,219.99
[],None,,,,
Bloody Harry,5000000,4.579861,1144.0,0.95,5.3
Cut the Rope: Time Travel,50000000,4.559033,2477.0,0.88,29.99
Hotel Transylvania Adventures,10000000,4.31,281.0,1.69,54.99
[],None,,,,
Badland Brawl,10000000,4.15,245.0,1.09,104.99
Leap Day,1000000,3.772277,214.0,1.09,54.99
[],None,,,,
Ninja Dash Run - Offline Games,10000000,4.23,121.0,1.99,79.99
PAC-MAN,100000000,3.5714285,1201.0,0.99,99.99
Fruit Ninja 2 Fun Action Games,10000000,3.77,83.0,0.99,119.99
[],None,,,,
Benji Bananas,50000000,4.3482413,7048.0,0.89,89.99
[],None,,,,
Rocky Rampage: Wreck 'em Up,500000,3.7567568,18.0,1.09,64.99
Zombies Ranch. Zombie shooting,1000000,4.0526314,10.0,0.69,42.99
[],None,,,,
[],None,,,,
South Park: Phone Destroyer™,10000000,4.4359927,2198.0,0.89,54.99
[],None,,,,
Lumberwhack: Defend the Wild,1000000,4.0735292,16.0,0.99,109.99
Magic Touch: Wizard for Hire,10000000,4.05,38.0,1.62,7.57
Manuganu 2,5000000,4.6,125.0,0.71,
Rick and Morty: Pocket Mortys,10000000,3.462069,639.0,1.09,104.99
[],None,,,,
[],None,,,,
[],None,,,,
Crash Bandicoot: On the Run!,10000000,4.173611,1131.0,0.99,109.99
Flippy Knife,10000000,4.0236793,2647.0,0.99,64.99
Ballz,10000000,3.17,445.0,0.99,2.99
[],None,,,,
Magic Rampage,10000000,4.48,205.0,1.9,21.9
Dumb Ways to Die 2: The Games,100000000,4.2824483,3308.0,0.81,4.4
Age of Apes,1000000,4.5,217.0,1.19,114.99
[],None,,,,
Prince of Persia : Escape,5000000,4.1485147,222.0,3.49,
[],None,,,,
Hyperforma,1000000,4.64,56.0,0.69,4.99
Ice Age Adventures,50000000,4.0146523,1486.0,0.99,99.99
Shadow of Death: Dark Knight,10000000,4.6923075,308.0,0.99,99.99
Om Nom: Run,10000000,3.950495,90.0,0.99,29.99
Rayman Adventures,10000000,4.095238,1886.0,1.09,109.99
Color Switch - Official,10000000,4.1977777,2126.0,1.09,8.49
Catapult Quest,10000000,4.14,261.0,2.99,99.99
[],None,,,,
[],None,,,,
Peggle Blast,10000000,3.2877698,349.0,0.99,99.99
[],None,,,,
[],None,,,,
Tank 1990: Stars Battle Defense War Ace Hero,5000000,4.3333335,13.0,0.59,49.99
[],None,,,,
Best Fiends - Match 3 Puzzles,50000000,4.5510564,3894.0,0.99,99.99
[],None,,,,
[],None,,,,
[],None,,,,
[],None,,,,
[],None,,,,
[],None,,,,
[],None,,,,
[],None,,,,
Clusterduck,1000000,4.4158416,143.0,0.99,2.09
[],None,,,,
Troll Face Quest: TV Shows,10000000,4.49,393.0,2.39,3.59
[],None,,,,
Rumble Hockey,1000000,3.7380953,12.0,1.09,104.99
[],None,,,,
Trivia Crack 2,10000000,4.029703,1100.0,1.09,109.99
[],None,,,,
[],None,,,,
[],None,,,,
[],None,,,,
Zombie Harvest,10000000,4.06,37.0,0.89,17.99
Crazy Dino Park,10000000,4.6380367,712.0,1.09,104.99
[],None,,,,
[],None,,,,
[],None,,,,
[],None,,,,
[],None,,,,
[],None,,,,
[],None,,,,
Walk Master,10000000,4.31,166.0,0.99,4.99
Looney Tunes™ World of Mayhem,10000000,4.3168316,850.0,0.79,323.79
Dumb Ways JR Madcap's Plane,1000,0.0,0.0,,
Linedoku - Logic Puzzle Games,5000000,4.28,107.0,1.19,23.99
Boom Slingers,1000000,4.04,168.0,1.29,23.99
Blackmoor 2: Action Platformer,1000000,4.01,53.0,0.89,4.49
Apple Knight: Action Platformer,5000000,4.56,116.0,1.09,49.99
Go Escape!,10000000,4.140496,713.0,3.19,
[],None,,,,
[],None,,,,
[],None,,,,
[],None,,,,
[],None,,,,
[],None,,,,
Top Run: Retro Pixel Adventure,100000,5.0,5.0,1.09,10.99
[],None,,,,
"MMX Hill Dash 2 – Offroad Truck, Car & Bike Racing",10000000,3.71,233.0,0.99,99.99
Mega Shooter: Infinity Space War (Galaxy Heroes),1000000,4.2222223,5.0,1.99,39.99
Antarctica 88: Scary Action Adventure Horror Game,5000000,4.3,84.0,0.59,8.99
Fruit Ninja Classic,1000000,4.25,140.0,0.99,49.99
